well,fold,split,cut_idx,native_cut_idx,prefix_rows,eval_rows,prefix_frac,prefix_gr_coverage,eval_gr_coverage,fallback_tvt,method,hidden_compatible_method,router_eligible_method,status,detail,eval_rmse,baseline_rmse,delta_rmse_vs_baseline,holdout_rmse,holdout_delta_rmse_vs_baseline,holdout_status,holdout_detail,pred_std,pred_move_abs_p90,pred_jump_abs_p99,pred_range
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,typewell_particle_filter,True,True,ok,sigma_gr=11.89;dip0=-0.0037;kappa=0.020;gr_cov=0.54,7.149206403951829,4.533036013345726,2.6161703906061025,4.1623826639952135,0.16785217047874923,ok,sigma_gr=11.47;dip0=-0.0002;kappa=0.020;gr_cov=0.55,4.042000397307351,7.037016256517383,1.6571722582248747,15.525113180920016
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__last_value,True,False,ok,eval_shift=-20.000;eval_improvement=0.6854,3.586578178492256,4.533036013345726,-0.9464578348534705,7.988620968042097,3.994090474525633,ok,eval_shift=25.000;eval_improvement=0.0368,0.8015251794087727,3.999504673842239,0.01368996108991269,3.9998177108373056
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__damped_tail_linear_md,True,False,ok,eval_shift=-30.000;eval_improvement=0.3480,9.777083415582304,4.533036013345726,5.2440474022365775,7.754797772592314,3.7602672790758493,ok,eval_shift=25.000;eval_improvement=0.1457,4.52058773974133,17.626269446749212,0.025324175797977667,17.74331388243263
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__damped_tail_linear_Z,True,False,ok,eval_shift=10.000;eval_improvement=0.4375,2.082171817408622,4.533036013345726,-2.4508641959371045,7.64964443399072,3.655113940474256,ok,eval_shift=25.000;eval_improvement=0.1038,2.0534130575619103,5.061173519198201,0.005274576406627603,5.959437089735729
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__damped_tail_linear_ANCC,False,False,ok,eval_shift=-30.000;eval_improvement=0.4576,10.981687298539097,4.533036013345726,6.44865128519337,7.805904691106763,3.8113741975902986,ok,eval_shift=25.000;eval_improvement=0.1225,4.761585543892122,17.999257010763905,0.02393293000044651,17.808448551251786
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__damped_tail_linear_ASTNU,False,False,ok,eval_shift=-30.000;eval_improvement=0.4576,10.981687298539342,4.533036013345726,6.448651285193615,7.805904691105337,3.811374197588873,ok,eval_shift=25.000;eval_improvement=0.1225,4.76158554389209,17.999257010763905,0.02393293000044651,17.808448551251786
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__damped_tail_linear_ASTNL,False,False,ok,eval_shift=-30.000;eval_improvement=0.4576,10.981687298537453,4.533036013345726,6.448651285191727,7.805904691105663,3.811374197589199,ok,eval_shift=25.000;eval_improvement=0.1225,4.761585543892895,17.999257010763905,0.02393293000044651,17.808448551253605
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__damped_tail_linear_EGFDU,False,False,ok,eval_shift=-30.000;eval_improvement=0.4576,10.981687298538615,4.533036013345726,6.448651285192889,7.805904691106592,3.811374197590128,ok,eval_shift=25.000;eval_improvement=0.1225,4.761585543892202,17.999257010763905,0.023932930001119533,17.808448551251786
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__damped_tail_linear_EGFDL,False,False,ok,eval_shift=-30.000;eval_improvement=0.4576,10.98168729853929,4.533036013345726,6.448651285193564,7.805904691105451,3.8113741975889868,ok,eval_shift=25.000;eval_improvement=0.1225,4.761585543892662,17.999257010763905,0.02393293000044651,17.808448551251786
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__damped_tail_linear_BUDA,False,False,ok,eval_shift=-30.000;eval_improvement=0.4576,10.981687298539468,4.533036013345726,6.448651285193741,7.805904691107278,3.8113741975908138,ok,eval_shift=25.000;eval_improvement=0.1225,4.761585543892475,17.999257010763905,0.023932930001119533,17.808448551251786
000d7d20,0,frac_0.50,2639,1442,2639,2639,0.5,0.6047745358090185,0.5395983327017809,11741.96,gr_shift__piecewise_tail_slope_md,True,False,ok,eval_shift=10.000;eval_improvement=0.5770,3.653563035968871,4.533036013345726,-0.8794729773768553,7.873195830786392,3.8786653372699273,ok,eval_shift=25.000;eval_improvement=0.0871,0.5354543351875228,1.5965866648126394,0.002255813772226247,1.658674150608931
